Year,Month,Conference,curriculum,bom_share,dc_share,nt_share,ot_share,curriculum_book_share
1971,4,1971-04,nt,0.15658362989323843,0.23843416370106763,0.3594306049822064,0.16370106761565836,0.3594306049822064
1971,10,1971-10,nt,0.10355987055016182,0.2686084142394822,0.34627831715210355,0.18446601941747573,0.34627831715210355
1972,4,1972-04,bom,0.12749003984063745,0.250996015936255,0.4541832669322709,0.12350597609561753,0.12749003984063745
1972,10,1972-10,bom,0.09907120743034056,0.32507739938080493,0.3498452012383901,0.1393188854489164,0.09907120743034056
1973,4,1973-04,dc,0.166189111747851,0.22063037249283668,0.3839541547277937,0.1346704871060172,0.22063037249283668
1973,10,1973-10,dc,0.14594594594594595,0.37027027027027026,0.2972972972972973,0.0918918918918919,0.37027027027027026
1974,4,1974-04,ot,0.14042553191489363,0.2553191489361702,0.42127659574468085,0.12340425531914893,0.12340425531914893
1974,10,1974-10,ot,0.10242587601078167,0.22911051212938005,0.40700808625336926,0.18867924528301888,0.18867924528301888
1975,4,1975-04,nt,0.2017291066282421,0.2507204610951009,0.3371757925072046,0.16714697406340057,0.3371757925072046
1975,10,1975-10,nt,0.17272727272727273,0.28484848484848485,0.2727272727272727,0.12727272727272726,0.2727272727272727
1976,4,1976-04,bom,0.14615384615384616,0.3076923076923077,0.3717948717948718,0.12564102564102564,0.14615384615384616
1976,10,1976-10,bom,0.14204545454545456,0.2471590909090909,0.4715909090909091,0.11079545454545454,0.14204545454545456
1977,4,1977-04,dc,0.1903323262839879,0.22054380664652568,0.39274924471299094,0.12084592145015106,0.22054380664652568
1977,10,1977-10,dc,0.1541501976284585,0.34782608695652173,0.2766798418972332,0.15019762845849802,0.34782608695652173
1978,4,1978-04,ot,0.14527027027027026,0.30067567567567566,0.28378378378378377,0.17905405405405406,0.17905405405405406
1978,10,1978-10,ot,0.18992248062015504,0.3023255813953488,0.31007751937984496,0.1124031007751938,0.1124031007751938
1979,4,1979-04,nt,0.13677811550151975,0.2826747720364742,0.40425531914893614,0.1337386018237082,0.40425531914893614
1979,10,1979-10,nt,0.22887323943661972,0.31690140845070425,0.29225352112676056,0.08450704225352113,0.29225352112676056
1980,4,1980-04,bom,0.16236162361623616,0.28413284132841327,0.35793357933579334,0.15129151291512916,0.16236162361623616
1980,10,1980-10,bom,0.11299435028248588,0.4152542372881356,0.2627118644067797,0.14689265536723164,0.11299435028248588
1981,4,1981-04,dc,0.14957264957264957,0.2948717948717949,0.3803418803418803,0.11965811965811966,0.2948717948717949
1981,10,1981-10,dc,0.19653179190751446,0.24277456647398843,0.41329479768786126,0.07803468208092486,0.24277456647398843
1982,4,1982-04,ot,0.12980769230769232,0.3173076923076923,0.40865384615384615,0.10336538461538461,0.10336538461538461
1982,10,1982-10,ot,0.19387755102040816,0.22108843537414966,0.41836734693877553,0.1360544217687075,0.1360544217687075
1983,4,1983-04,nt,0.16606498194945848,0.2779783393501805,0.33935018050541516,0.17689530685920576,0.33935018050541516
1983,10,1983-10,nt,0.25477707006369427,0.21337579617834396,0.35668789808917195,0.1305732484076433,0.35668789808917195
1984,4,1984-04,bom,0.27169811320754716,0.27169811320754716,0.3018867924528302,0.11320754716981132,0.27169811320754716
1984,10,1984-10,bom,0.21341463414634146,0.24695121951219512,0.3597560975609756,0.14939024390243902,0.21341463414634146
1985,4,1985-04,dc,0.260752688172043,0.1693548387096774,0.3709677419354839,0.1774193548387097,0.1693548387096774
1985,10,1985-10,dc,0.32682926829268294,0.22682926829268293,0.3097560975609756,0.1073170731707317,0.22682926829268293
1986,4,1986-04,ot,0.3968253968253968,0.19576719576719576,0.23015873015873015,0.11904761904761904,0.11904761904761904
1986,10,1986-10,ot,0.3439306358381503,0.20520231213872833,0.24277456647398843,0.15028901734104047,0.15028901734104047
1987,4,1987-04,nt,0.3743455497382199,0.23821989528795812,0.28534031413612565,0.06282722513089005,0.28534031413612565
1987,10,1987-10,nt,0.4013452914798206,0.21524663677130046,0.1726457399103139,0.07623318385650224,0.1726457399103139
1988,4,1988-04,bom,0.2783018867924528,0.1792452830188679,0.37028301886792453,0.13443396226415094,0.2783018867924528
1988,10,1988-10,bom,0.33073929961089493,0.2178988326848249,0.3035019455252918,0.10116731517509728,0.33073929961089493
1989,4,1989-04,dc,0.35023041474654376,0.2534562211981567,0.27419354838709675,0.08755760368663594,0.2534562211981567
1989,10,1989-10,dc,0.30434782608695654,0.3016304347826087,0.24456521739130435,0.10597826086956522,0.3016304347826087
1990,4,1990-04,ot,0.2532299741602067,0.2222222222222222,0.2997416020671835,0.15503875968992248,0.15503875968992248
1990,10,1990-10,ot,0.3252747252747253,0.2703296703296703,0.23516483516483516,0.11648351648351649,0.11648351648351649
1991,4,1991-04,nt,0.25,0.20876288659793815,0.35051546391752575,0.15979381443298968,0.35051546391752575
1991,10,1991-10,nt,0.32997481108312343,0.2518891687657431,0.24685138539042822,0.12594458438287154,0.24685138539042822
1992,4,1992-04,bom,0.3522167487684729,0.1896551724137931,0.3497536945812808,0.07389162561576355,0.3522167487684729
1992,10,1992-10,bom,0.3564356435643564,0.23267326732673269,0.21782178217821782,0.16584158415841585,0.3564356435643564
1993,4,1993-04,dc,0.43734643734643736,0.2751842751842752,0.20393120393120392,0.056511056511056514,0.2751842751842752
1993,10,1993-10,dc,0.2916666666666667,0.28685897435897434,0.20833333333333334,0.10897435897435898,0.28685897435897434
1994,4,1994-04,ot,0.24,0.2,0.41333333333333333,0.09555555555555556,0.09555555555555556
1994,10,1994-10,ot,0.24362606232294617,0.34277620396600567,0.26628895184135976,0.0764872521246459,0.0764872521246459
1995,4,1995-04,nt,0.27486910994764396,0.2670157068062827,0.2801047120418848,0.14136125654450263,0.2801047120418848
1995,10,1995-10,nt,0.2367816091954023,0.25057471264367814,0.2896551724137931,0.167816091954023,0.2896551724137931
