Year,Month,Conference,bom,bom_share,n_talks
1971,4,1971-04,44,0.15658362989323843,45
1971,10,1971-10,32,0.10355987055016182,43
1972,4,1972-04,32,0.12749003984063745,45
1972,10,1972-10,32,0.09907120743034056,43
1973,4,1973-04,58,0.166189111747851,41
1973,10,1973-10,54,0.14594594594594595,40
1974,4,1974-04,66,0.14042553191489363,44
1974,10,1974-10,38,0.10242587601078167,42
1975,4,1975-04,70,0.2017291066282421,45
1975,10,1975-10,57,0.17272727272727273,51
1976,4,1976-04,57,0.14615384615384616,50
1976,10,1976-10,50,0.14204545454545456,52
1977,4,1977-04,63,0.1903323262839879,41
1977,10,1977-10,39,0.1541501976284585,37
1978,4,1978-04,43,0.14527027027027026,43
1978,10,1978-10,49,0.18992248062015504,44
1979,4,1979-04,45,0.13677811550151975,36
1979,10,1979-10,65,0.22887323943661972,39
1980,4,1980-04,44,0.16236162361623616,39
1980,10,1980-10,40,0.11299435028248588,45
1981,4,1981-04,35,0.14957264957264957,38
1981,10,1981-10,68,0.19653179190751446,40
1982,4,1982-04,54,0.12980769230769232,41
1982,10,1982-10,57,0.19387755102040816,36
1983,4,1983-04,46,0.16606498194945848,32
1983,10,1983-10,80,0.25477707006369427,34
1984,4,1984-04,72,0.27169811320754716,34
1984,10,1984-10,70,0.21341463414634146,36
1985,4,1985-04,97,0.260752688172043,35
1985,10,1985-10,134,0.32682926829268294,35
1986,4,1986-04,150,0.3968253968253968,28
1986,10,1986-10,119,0.3439306358381503,33
1987,4,1987-04,143,0.3743455497382199,29
1987,10,1987-10,179,0.4013452914798206,33
1988,4,1988-04,118,0.2783018867924528,32
1988,10,1988-10,170,0.33073929961089493,35
1989,4,1989-04,152,0.35023041474654376,29
1989,10,1989-10,112,0.30434782608695654,36
1990,4,1990-04,98,0.2532299741602067,40
1990,10,1990-10,148,0.3252747252747253,38
1991,4,1991-04,97,0.25,34
1991,10,1991-10,131,0.32997481108312343,39
1992,4,1992-04,143,0.3522167487684729,41
1992,10,1992-10,144,0.3564356435643564,39
1993,4,1993-04,178,0.43734643734643736,36
1993,10,1993-10,182,0.2916666666666667,37
1994,4,1994-04,108,0.24,40
1994,10,1994-10,86,0.24362606232294617,36
1995,4,1995-04,105,0.27486910994764396,43
1995,10,1995-10,103,0.2367816091954023,39
1996,4,1996-04,85,0.24079320113314448,38
1996,10,1996-10,123,0.27954545454545454,34
1997,4,1997-04,123,0.3253968253968254,39
1997,10,1997-10,72,0.21951219512195122,37
1998,4,1998-04,72,0.23920265780730898,39
1998,10,1998-10,98,0.2776203966005666,38
1999,4,1999-04,96,0.2953846153846154,40
1999,10,1999-10,165,0.41044776119402987,38
2000,4,2000-04,156,0.32432432432432434,38
2000,10,2000-10,168,0.345679012345679,39
2001,4,2001-04,164,0.36043956043956044,38
2001,10,2001-10,180,0.3665987780040733,38
2002,4,2002-04,139,0.29018789144050106,40
2002,10,2002-10,127,0.2873303167420814,35
2003,4,2003-04,106,0.2896174863387978,42
2003,10,2003-10,120,0.2484472049689441,36
2004,4,2004-04,135,0.2973568281938326,39
2004,10,2004-10,112,0.28865979381443296,37
2005,4,2005-04,148,0.38341968911917096,38
2005,10,2005-10,103,0.2934472934472934,38
2006,4,2006-04,203,0.4821852731591449,37
2006,10,2006-10,214,0.38010657193605685,43
2007,4,2007-04,125,0.29691211401425177,42
2007,10,2007-10,160,0.33195020746887965,43
2008,4,2008-04,155,0.33261802575107297,42
2008,10,2008-10,159,0.29174311926605506,37
2009,4,2009-04,135,0.2980132450331126,39
2009,10,2009-10,190,0.40772532188841204,39
2010,4,2010-04,125,0.27654867256637167,40
2010,10,2010-10,162,0.3537117903930131,39
2011,4,2011-04,126,0.32642487046632124,40
2011,10,2011-10,181,0.3261261261261261,39
2012,4,2012-04,130,0.3117505995203837,40
2012,10,2012-10,174,0.35365853658536583,39
2013,4,2013-04,140,0.21638330757341576,40
2013,10,2013-10,156,0.3183673469387755,39
2014,4,2014-04,119,0.2975,40
2014,10,2014-10,187,0.32130584192439865,39
2015,4,2015-04,167,0.3333333333333333,39
2015,10,2015-10,160,0.32388663967611336,40
2016,4,2016-04,132,0.31353919239904987,38
2016,10,2016-10,303,0.4855769230769231,38
2017,4,2017-04,172,0.31272727272727274,39
2017,10,2017-10,185,0.36779324055666,36
2018,4,2018-04,182,0.37681159420289856,38
2018,10,2018-10,194,0.3553113553113553,34
2019,4,2019-04,246,0.4039408866995074,33
2019,10,2019-10,222,0.39361702127659576,35
2020,4,2020-04,347,0.47210884353741495,35
2020,10,2020-10,181,0.3321100917431193,35
2021,4,2021-04,196,0.32558139534883723,37
2021,10,2021-10,228,0.375,40
2022,4,2022-04,223,0.3373676248108926,37
2022,10,2022-10,246,0.37962962962962965,36
2023,4,2023-04,289,0.4087694483734088,35
2023,10,2023-10,193,0.2982998454404946,33
2024,4,2024-04,288,0.40055632823365783,34
2024,10,2024-10,285,0.3925619834710744,35
2025,4,2025-04,238,0.3238095238095238,34
2025,10,2025-10,277,0.39514978601997147,35
