Year,bom_share,n_talks
1971,0.1288135593220339,79.0
1972,0.11149825783972125,78.0
1973,0.15577190542420027,76.0
1974,0.12366230677764566,81.0
1975,0.18759231905465287,80.0
1976,0.14420485175202155,91.0
1977,0.17465753424657535,68.0
1978,0.16606498194945848,68.0
1979,0.17944535073409462,70.0
1980,0.1344,75.0
1981,0.17758620689655172,69.0
1982,0.1563380281690141,65.0
1983,0.2131979695431472,61.0
1984,0.23946037099494097,57.0
1985,0.29539641943734013,59.0
1986,0.3715469613259669,56.0
1987,0.3888888888888889,56.0
1988,0.3070362473347548,60.0
1989,0.32917705735660846,61.0
1990,0.2921615201900237,71.0
1991,0.29044585987261146,66.0
1992,0.35432098765432096,74.0
1993,0.34917555771096026,66.0
1994,0.24159402241594022,70.0
1995,0.25458996328029376,77.0
1996,0.26229508196721313,62.0
1997,0.2762039660056657,66.0
1998,0.2599388379204893,70.0
1999,0.35900962861072905,69.0
2000,0.33505687693898656,69.0
2001,0.36363636363636365,70.0
2002,0.2888165038002172,67.0
2003,0.2661955241460542,70.0
2004,0.29334916864608074,68.0
2005,0.3405698778833107,66.0
2006,0.42378048780487804,72.0
2007,0.31561461794019935,75.0
2008,0.3105835806132542,74.0
2009,0.35364526659412404,71.0
2010,0.3153846153846154,73.0
2011,0.32624867162592985,69.0
2012,0.33443344334433445,73.0
2013,0.26033421284080915,72.0
2014,0.31160896130346233,72.0
2015,0.32864321608040203,74.0
2016,0.41626794258373206,71.0
2017,0.33903133903133903,70.0
2018,0.3654033041788144,68.0
2019,0.3989769820971867,64.0
2020,0.4125,67.0
2021,0.3504132231404959,74.0
2022,0.3582887700534759,69.0
2023,0.3559822747415066,66.0
2024,0.3965397923875433,67.0
2025,0.35863509749303624,66.0
