Speaker,n_talks,bom,dc,pgp,nt,ot,total,cluster,share_bom,share_dc,share_pgp,share_nt,share_ot
Henry B. Eyring,122,252,237,37,163,43,732,0,0.3442622950819672,0.3237704918032787,0.050546448087431695,0.2226775956284153,0.05874316939890711
Russell M. Nelson,114,1140,1109,229,808,483,3769,0,0.30246749801008227,0.2942425046431414,0.06075882196869196,0.21438047227381268,0.12815070310427168
Boyd K. Packer,90,547,456,90,294,103,1490,0,0.36711409395973155,0.30604026845637583,0.06040268456375839,0.19731543624161074,0.0691275167785235
Ezra Taft Benson,63,413,346,39,137,56,991,0,0.4167507568113017,0.3491422805247225,0.039354187689202826,0.13824419778002017,0.056508577194752774
Richard G. Scott,59,202,151,39,64,22,478,0,0.4225941422594142,0.3158995815899582,0.08158995815899582,0.13389121338912133,0.04602510460251046
David A. Bednar,43,428,228,66,190,65,977,0,0.43807574206755373,0.23336745138178097,0.06755373592630501,0.19447287615148415,0.06653019447287616
Quentin L. Cook,39,242,254,25,135,57,713,0,0.3394109396914446,0.35624123422159887,0.03506311360448808,0.18934081346423562,0.07994389901823282
Dale G. Renlund,23,281,139,16,110,68,614,0,0.4576547231270358,0.2263843648208469,0.026058631921824105,0.1791530944625407,0.11074918566775244
A. Theodore Tuttle,17,24,61,5,11,10,111,0,0.21621621621621623,0.5495495495495496,0.04504504504504504,0.0990990990990991,0.09009009009009009
Elaine S. Dalton,16,71,66,15,24,27,203,0,0.3497536945812808,0.3251231527093596,0.07389162561576355,0.11822660098522167,0.1330049261083744
Julie B. Beck,15,41,53,15,27,12,148,0,0.27702702702702703,0.3581081081081081,0.10135135135135136,0.18243243243243243,0.08108108108108109
J. Thomas Fyans,14,14,23,6,6,4,53,0,0.2641509433962264,0.4339622641509434,0.11320754716981132,0.11320754716981132,0.07547169811320754
Charles A. Didier,12,39,27,16,15,14,111,0,0.35135135135135137,0.24324324324324326,0.14414414414414414,0.13513513513513514,0.12612612612612611
Elaine L. Jack,12,38,29,3,19,10,99,0,0.3838383838383838,0.29292929292929293,0.030303030303030304,0.1919191919191919,0.10101010101010101
Brook P. Hales,11,7,4,2,4,3,20,0,0.35,0.2,0.1,0.2,0.15
Thomas S. Monson,234,167,246,31,728,281,1453,1,0.11493461803165864,0.16930488644184447,0.021335168616655197,0.5010323468685478,0.19339298004129388
Gordon B. Hinckley,232,119,267,47,400,191,1024,1,0.1162109375,0.2607421875,0.0458984375,0.390625,0.1865234375
Spencer W. Kimball,75,61,123,75,176,118,553,1,0.11030741410488246,0.2224231464737794,0.13562386980108498,0.3182640144665461,0.21338155515370705
David B. Haight,60,48,118,19,232,41,458,1,0.10480349344978165,0.2576419213973799,0.04148471615720524,0.5065502183406113,0.08951965065502183
Howard W. Hunter,51,57,65,16,206,84,428,1,0.13317757009345793,0.15186915887850466,0.037383177570093455,0.48130841121495327,0.19626168224299065
Marvin J. Ashton,44,53,65,14,138,22,292,1,0.1815068493150685,0.2226027397260274,0.04794520547945205,0.4726027397260274,0.07534246575342465
Mark E. Petersen,27,59,89,21,186,45,400,1,0.1475,0.2225,0.0525,0.465,0.1125
LeGrand Richards,22,22,12,22,211,123,390,1,0.05641025641025641,0.03076923076923077,0.05641025641025641,0.541025641025641,0.3153846153846154
Marion D. Hanks,21,76,20,7,125,47,275,1,0.27636363636363637,0.07272727272727272,0.025454545454545455,0.45454545454545453,0.1709090909090909
Barbara B. Smith,20,8,12,2,19,16,57,1,0.14035087719298245,0.21052631578947367,0.03508771929824561,0.3333333333333333,0.2807017543859649
Vaughn J. Featherstone,18,19,11,6,34,13,83,1,0.2289156626506024,0.13253012048192772,0.07228915662650602,0.40963855421686746,0.1566265060240964
H. David Burton,14,15,13,2,39,5,74,1,0.20270270270270271,0.17567567567567569,0.02702702702702703,0.527027027027027,0.06756756756756757
Delbert L. Stapley,12,36,41,3,139,12,231,1,0.15584415584415584,0.1774891774891775,0.012987012987012988,0.6017316017316018,0.05194805194805195
S. Dilworth Young,12,17,11,9,31,35,103,1,0.1650485436893204,0.10679611650485436,0.08737864077669903,0.30097087378640774,0.33980582524271846
Bernard P. Brockbank,11,15,61,3,98,17,194,1,0.07731958762886598,0.31443298969072164,0.015463917525773196,0.5051546391752577,0.08762886597938144
Sterling W. Sill,11,4,11,5,21,10,51,1,0.0784313725490196,0.21568627450980393,0.09803921568627451,0.4117647058823529,0.19607843137254902
