Year,Month,Conference,nt_share,bom_share,christ_index
1971,4,1971-04,0.3594306049822064,0.15658362989323843,0.5160142348754448
1971,10,1971-10,0.34627831715210355,0.10355987055016182,0.44983818770226536
1972,4,1972-04,0.4541832669322709,0.12749003984063745,0.5816733067729083
1972,10,1972-10,0.3498452012383901,0.09907120743034056,0.4489164086687306
1973,4,1973-04,0.3839541547277937,0.166189111747851,0.5501432664756447
1973,10,1973-10,0.2972972972972973,0.14594594594594595,0.44324324324324327
1974,4,1974-04,0.42127659574468085,0.14042553191489363,0.5617021276595745
1974,10,1974-10,0.40700808625336926,0.10242587601078167,0.5094339622641509
1975,4,1975-04,0.3371757925072046,0.2017291066282421,0.5389048991354467
1975,10,1975-10,0.2727272727272727,0.17272727272727273,0.44545454545454544
1976,4,1976-04,0.3717948717948718,0.14615384615384616,0.517948717948718
1976,10,1976-10,0.4715909090909091,0.14204545454545456,0.6136363636363636
1977,4,1977-04,0.39274924471299094,0.1903323262839879,0.5830815709969789
1977,10,1977-10,0.2766798418972332,0.1541501976284585,0.4308300395256917
1978,4,1978-04,0.28378378378378377,0.14527027027027026,0.42905405405405406
1978,10,1978-10,0.31007751937984496,0.18992248062015504,0.5
1979,4,1979-04,0.40425531914893614,0.13677811550151975,0.541033434650456
1979,10,1979-10,0.29225352112676056,0.22887323943661972,0.5211267605633803
1980,4,1980-04,0.35793357933579334,0.16236162361623616,0.5202952029520295
1980,10,1980-10,0.2627118644067797,0.11299435028248588,0.37570621468926557
1981,4,1981-04,0.3803418803418803,0.14957264957264957,0.5299145299145299
1981,10,1981-10,0.41329479768786126,0.19653179190751446,0.6098265895953757
1982,4,1982-04,0.40865384615384615,0.12980769230769232,0.5384615384615384
1982,10,1982-10,0.41836734693877553,0.19387755102040816,0.6122448979591837
1983,4,1983-04,0.33935018050541516,0.16606498194945848,0.5054151624548736
1983,10,1983-10,0.35668789808917195,0.25477707006369427,0.6114649681528662
1984,4,1984-04,0.3018867924528302,0.27169811320754716,0.5735849056603773
1984,10,1984-10,0.3597560975609756,0.21341463414634146,0.573170731707317
1985,4,1985-04,0.3709677419354839,0.260752688172043,0.6317204301075269
1985,10,1985-10,0.3097560975609756,0.32682926829268294,0.6365853658536585
1986,4,1986-04,0.23015873015873015,0.3968253968253968,0.626984126984127
1986,10,1986-10,0.24277456647398843,0.3439306358381503,0.5867052023121387
1987,4,1987-04,0.28534031413612565,0.3743455497382199,0.6596858638743455
1987,10,1987-10,0.1726457399103139,0.4013452914798206,0.5739910313901345
1988,4,1988-04,0.37028301886792453,0.2783018867924528,0.6485849056603774
1988,10,1988-10,0.3035019455252918,0.33073929961089493,0.6342412451361867
1989,4,1989-04,0.27419354838709675,0.35023041474654376,0.6244239631336406
1989,10,1989-10,0.24456521739130435,0.30434782608695654,0.5489130434782609
1990,4,1990-04,0.2997416020671835,0.2532299741602067,0.5529715762273901
1990,10,1990-10,0.23516483516483516,0.3252747252747253,0.5604395604395604
1991,4,1991-04,0.35051546391752575,0.25,0.6005154639175257
1991,10,1991-10,0.24685138539042822,0.32997481108312343,0.5768261964735517
1992,4,1992-04,0.3497536945812808,0.3522167487684729,0.7019704433497538
1992,10,1992-10,0.21782178217821782,0.3564356435643564,0.5742574257425742
1993,4,1993-04,0.20393120393120392,0.43734643734643736,0.6412776412776413
1993,10,1993-10,0.20833333333333334,0.2916666666666667,0.5
1994,4,1994-04,0.41333333333333333,0.24,0.6533333333333333
1994,10,1994-10,0.26628895184135976,0.24362606232294617,0.509915014164306
1995,4,1995-04,0.2801047120418848,0.27486910994764396,0.5549738219895288
1995,10,1995-10,0.2896551724137931,0.2367816091954023,0.5264367816091955
1996,4,1996-04,0.28895184135977336,0.24079320113314448,0.5297450424929179
1996,10,1996-10,0.2909090909090909,0.27954545454545454,0.5704545454545454
1997,4,1997-04,0.38095238095238093,0.3253968253968254,0.7063492063492063
1997,10,1997-10,0.3597560975609756,0.21951219512195122,0.5792682926829268
1998,4,1998-04,0.3488372093023256,0.23920265780730898,0.5880398671096345
1998,10,1998-10,0.26628895184135976,0.2776203966005666,0.5439093484419264
1999,4,1999-04,0.3415384615384615,0.2953846153846154,0.6369230769230769
1999,10,1999-10,0.2562189054726368,0.41044776119402987,0.6666666666666667
2000,4,2000-04,0.28274428274428276,0.32432432432432434,0.6070686070686071
2000,10,2000-10,0.29835390946502055,0.345679012345679,0.6440329218106995
2001,4,2001-04,0.24395604395604395,0.36043956043956044,0.6043956043956044
2001,10,2001-10,0.2708757637474542,0.3665987780040733,0.6374745417515275
2002,4,2002-04,0.29436325678496866,0.29018789144050106,0.5845511482254697
2002,10,2002-10,0.2647058823529412,0.2873303167420814,0.5520361990950227
2003,4,2003-04,0.27595628415300544,0.2896174863387978,0.5655737704918032
2003,10,2003-10,0.3146997929606625,0.2484472049689441,0.5631469979296067
2004,4,2004-04,0.2665198237885463,0.2973568281938326,0.5638766519823788
