Year,n_talks,nt_share,bom_share,christ_index
1971,88,0.3525423728813559,0.1288135593220339,0.4813559322033898
1972,88,0.39547038327526135,0.11149825783972125,0.5069686411149826
1973,81,0.33936022253129344,0.15577190542420027,0.4951321279554937
1974,86,0.4149821640903686,0.12366230677764566,0.5386444708680143
1975,96,0.30576070901033975,0.18759231905465287,0.4933530280649926
1976,102,0.4191374663072776,0.14420485175202155,0.5633423180592991
1977,78,0.3424657534246575,0.17465753424657535,0.5171232876712328
1978,87,0.296028880866426,0.16606498194945848,0.4620938628158845
1979,75,0.3523654159869494,0.17944535073409462,0.5318107667210441
1980,84,0.304,0.1344,0.4384
1981,78,0.4,0.17758620689655172,0.5775862068965517
1982,77,0.4126760563380282,0.1563380281690141,0.5690140845070423
1983,66,0.34856175972927245,0.2131979695431472,0.5617597292724197
1984,70,0.33389544688026984,0.23946037099494097,0.5733558178752108
1985,70,0.3388746803069054,0.29539641943734013,0.6342710997442456
1986,61,0.2361878453038674,0.3715469613259669,0.6077348066298343
1987,62,0.2246376811594203,0.3888888888888889,0.6135265700483092
1988,67,0.3336886993603412,0.3070362473347548,0.6407249466950959
1989,65,0.26059850374064836,0.32917705735660846,0.5897755610972568
1990,78,0.2648456057007126,0.2921615201900237,0.5570071258907363
1991,73,0.2980891719745223,0.29044585987261146,0.5885350318471337
1992,80,0.2839506172839506,0.35432098765432096,0.6382716049382715
1993,73,0.20659553831231814,0.34917555771096026,0.5557710960232785
1994,76,0.34869240348692404,0.24159402241594022,0.5902864259028643
1995,82,0.28518971848225216,0.25458996328029376,0.539779681762546
1996,72,0.2900378310214376,0.26229508196721313,0.5523329129886507
1997,76,0.37110481586402266,0.2762039660056657,0.6473087818696883
1998,77,0.30428134556574926,0.2599388379204893,0.5642201834862386
1999,78,0.29436038514442914,0.35900962861072905,0.6533700137551581
2000,77,0.2905894519131334,0.33505687693898656,0.6256463288521199
2001,76,0.25792811839323465,0.36363636363636365,0.6215644820295982
2002,75,0.28013029315960913,0.2888165038002172,0.5689467969598263
2003,78,0.29799764428739695,0.2661955241460542,0.5641931684334511
2004,76,0.27315914489311166,0.29334916864608074,0.5665083135391924
2005,76,0.24559023066485752,0.3405698778833107,0.5861601085481682
2006,80,0.2459349593495935,0.42378048780487804,0.6697154471544715
2007,85,0.2602436323366556,0.31561461794019935,0.575858250276855
2008,79,0.26211671612265086,0.3105835806132542,0.5727002967359051
2009,78,0.25244831338411317,0.35364526659412404,0.6060935799782372
2010,79,0.2802197802197802,0.3153846153846154,0.5956043956043956
2011,79,0.2667375132837407,0.32624867162592985,0.5929861849096705
2012,79,0.31353135313531355,0.33443344334433445,0.647964796479648
2013,79,0.316622691292876,0.26033421284080915,0.5769569041336852
2014,79,0.32484725050916496,0.31160896130346233,0.6364562118126273
2015,79,0.3085427135678392,0.32864321608040203,0.6371859296482412
2016,76,0.2669856459330144,0.41626794258373206,0.6832535885167464
2017,75,0.28774928774928776,0.33903133903133903,0.6267806267806268
2018,72,0.28765792031098153,0.3654033041788144,0.653061224489796
2019,68,0.23444160272804773,0.3989769820971867,0.6334185848252344
2020,70,0.21328125,0.4125,0.62578125
2021,77,0.2859504132231405,0.3504132231404959,0.6363636363636365
2022,73,0.3139801375095493,0.3582887700534759,0.6722689075630253
2023,68,0.3308714918759232,0.3559822747415066,0.6868537666174298
2024,69,0.255363321799308,0.3965397923875433,0.6519031141868512
2025,69,0.3147632311977716,0.35863509749303624,0.6733983286908078
