Speaker,n_talks,bom_tilt_pp,dc_tilt_pp,pgp_tilt_pp,nt_tilt_pp,ot_tilt_pp,bom_raw_share,dc_raw_share,pgp_raw_share,nt_raw_share,ot_raw_share,bom_va_share,dc_va_share,pgp_va_share,nt_va_share,ot_va_share
A. Theodore Tuttle,17,-9.51449092543669,0.6608651300423429,21.727612003896184,-5.304371797275027,-7.569614411226815,0.21621621621621623,0.5495495495495496,0.04504504504504504,0.0990990990990991,0.09009009009009009,0.12107130696184934,0.556158200849973,0.2623211650840069,0.046055381126348834,0.01439394597782194
Adney Y. Komatsu,10,-3.9620978445298243,17.40540172618545,0.0,-10.093075021616826,-3.350228860038793,0.28888888888888886,0.3111111111111111,0.0,0.35555555555555557,0.044444444444444446,0.24926791044359062,0.4851651283729656,0.0,0.2546248053393873,0.010942155844056516
Barbara B. Smith,20,-2.7392550069496453,9.570389452395068,25.8603931222818,-11.067468286603201,-21.62405928112402,0.14035087719298245,0.21052631578947367,0.03508771929824561,0.3333333333333333,0.2807017543859649,0.112958327123486,0.30623021031342434,0.2936916505210636,0.2226586504673013,0.0644611615747247
Bernard P. Brockbank,11,-1.5498134584512304,13.994397491791938,11.312470480648246,-16.99332421773829,-6.7637302962506665,0.07731958762886598,0.31443298969072164,0.015463917525773196,0.5051546391752577,0.08762886597938144,0.06182145304435368,0.454376964608641,0.12858862233225565,0.3352213969978748,0.019991563016874773
Bonnie D. Parkin,12,-8.501647836975557,7.16375029448017,16.2244427275268,-9.87912308824385,-5.007422096787574,0.45652173913043476,0.15217391304347827,0.021739130434782608,0.30434782608695654,0.06521739130434782,0.3715052607606792,0.22381141598827997,0.18398355771005062,0.20555659520451805,0.015143170336472086
Boyd K. Packer,90,-15.514313688448974,1.332846693533285,30.231178677522934,-10.275835211683502,-5.773876470923735,0.36711409395973155,0.30604026845637583,0.06040268456375839,0.19731543624161074,0.0691275167785235,0.2119709570752418,0.3193687353917087,0.36271447133898777,0.09455708412477572,0.011388752069286141
Brook P. Hales,11,-17.14521501741472,-1.5602470834321451,43.05421823396768,-11.532128043591939,-12.816628089528873,0.35,0.2,0.1,0.2,0.15,0.17854784982585276,0.18439752916567856,0.5305421823396768,0.08467871956408062,0.02183371910471126
Bruce R. McConkie,30,-5.318561966786102,-3.127665368422222,39.334419435579825,-19.462337889851465,-11.425854210520022,0.10666666666666667,0.3333333333333333,0.09333333333333334,0.3333333333333333,0.13333333333333333,0.05348104699880566,0.3020566796491111,0.4866775276891316,0.13870995443481865,0.019074791228133107
Carlos E. Asay,11,-16.278433032711966,0.39639120637370295,38.83647667214548,-15.414077025147083,-7.540357820660132,0.37566137566137564,0.164021164021164,0.07936507936507936,0.291005291005291,0.08994708994708994,0.21287704533425597,0.16798507608490104,0.4677298460865342,0.13686452075382016,0.01454351174048862
Charles A. Didier,12,-20.724959563211574,-6.293858337779573,47.06900135912612,-8.913558008588813,-11.136625449546141,0.35135135135135137,0.24324324324324326,0.14414414414414414,0.13513513513513514,0.12612612612612611,0.14410175571923564,0.18030465986544753,0.6148341577354053,0.04599955504924701,0.014759871630664705
D. Todd Christofferson,42,-14.507880900541329,0.8682985292126133,34.754212708371554,-15.126811741745438,-5.987818595297401,0.34081104400345125,0.2286453839516825,0.06988783433994823,0.28904227782571185,0.07161345987920621,0.19573223499803796,0.23732836924380862,0.41742996142366373,0.13777416040825746,0.011735273926232206
Dale G. Renlund,23,-11.044869643361782,8.402460096849252,17.954664509520345,-6.63473212468236,-8.677522838325457,0.4576547231270358,0.2263843648208469,0.026058631921824105,0.1791530944625407,0.11074918566775244,0.347206026693418,0.3104089657893394,0.20560527701702758,0.11280577321571711,0.02397395728449787
Dallin H. Oaks,102,-10.300825932265365,5.802485748638625,23.946541599899835,-13.707699987813617,-5.740501428459474,0.3234613604812587,0.25034706154558073,0.03933364183248496,0.3155946321147617,0.07126330402591392,0.22045310115860503,0.308371919031967,0.2787990578314833,0.1785176322366255,0.013858289741319179
David A. Bednar,43,-18.67119468939408,0.8641998483973012,33.55680140904423,-10.186023635743854,-5.563782932303605,0.43807574206755373,0.23336745138178097,0.06755373592630501,0.19447287615148415,0.06653019447287616,0.2513637951736129,0.24200944986575398,0.4031217500167474,0.0926126397940456,0.010892365149840105
David B. Haight,60,-3.2417861136263286,6.39696484816345,25.65028035334454,-21.61768205324804,-7.18777703463361,0.10480349344978165,0.2576419213973799,0.04148471615720524,0.5065502183406113,0.08951965065502183,0.07238563231351837,0.3216115698790144,0.2979875196906506,0.29037339780813093,0.01764188030868572
Dean L. Larsen,11,-5.438075156746569,11.59612757045474,11.144770633415925,-7.726427972635336,-9.576395074488747,0.38028169014084506,0.2112676056338028,0.014084507042253521,0.2676056338028169,0.1267605633802817,0.3259009385733794,0.3272288813383502,0.12553221337641277,0.19034135407646352,0.030996612635394213
