book,cp_index,conference,pre_8conf_mean,post_8conf_mean,delta_pp
bom,25,1983-10,0.1716,0.2502,7.86
bom,46,1994-04,0.3594,0.2488,-11.06
bom,57,1999-10,0.2579,0.3602,10.23
bom,91,2016-10,0.323,0.3857,6.27
dc,13,1977-10,0.2651,0.3084,4.33
dc,23,1982-10,0.3176,0.246,-7.15
dc,36,1989-04,0.2127,0.2619,4.93
dc,87,2014-10,0.2651,0.2198,-4.52
nt,13,1977-10,0.3772,0.3187,-5.85
nt,20,1981-04,0.3293,0.4052,7.59
nt,29,1985-10,0.3473,0.267,-8.03
nt,101,2021-10,0.2362,0.3189,8.27
ot,32,1987-04,0.1385,0.0937,-4.49
ot,38,1990-04,0.1073,0.1393,3.2
ot,51,1996-10,0.1325,0.0895,-4.3
ot,67,2004-10,0.1234,0.0721,-5.13
pgp,16,1979-04,0.0808,0.0566,-2.42
pgp,22,1982-04,0.0578,0.0389,-1.89
pgp,45,1993-10,0.0335,0.0657,3.22
pgp,76,2009-04,0.0607,0.0496,-1.11
