Year,mean_talk_entropy,agg_entropy,n_talks_with_cites
1971,1.1339278354242799,2.165340475840453,79
1972,0.9406906628016827,2.050779729464521,78
1973,1.2793274487666133,2.143988544355405,76
1974,1.1014641991008731,2.066561299082356,81
1975,0.976960373983222,2.2078382404052124,80
1976,0.8857295456963271,1.9901002977034419,91
1977,1.061685734050546,2.1466276449486195,68
1978,1.114109755524073,2.1889679922258924,68
1979,1.0576777606377024,2.087731660725124,70
1980,1.1265950688536686,2.079407999273037,75
1981,1.0340593928800883,2.0542779798880875,69
1982,1.1469350958422364,1.9954388292977492,65
1983,1.2077399795464676,2.1082177675845304,61
1984,1.17381927878031,2.084579042165315,57
1985,1.118877757162958,2.0459675457734923,59
1986,1.2816530975578253,2.1138902916767894,56
1987,1.3128101945244957,2.081129062423747,56
1988,1.4164142718064872,2.071113388830013,60
1989,1.2448468108747992,2.0516888242148417,61
1990,1.2107697018690233,2.15915953494995,71
1991,1.2491793048137148,2.1074191083486133,66
1992,1.241079071775681,2.0413685543705835,74
1993,1.3040031205462763,2.101573727113122,66
1994,1.2674581011918458,2.081557203461433,70
1995,1.1643125203038724,2.1464285440013358,77
1996,1.1902874886084092,2.1412520193729,62
1997,1.0673158203680506,2.0123383928862904,66
1998,1.1442625324204223,2.1277908551446103,70
1999,1.2205207848823165,2.0325631603046985,69
2000,1.251342001734904,2.0885920811284113,69
2001,1.3212918450359852,2.0898723267604353,70
2002,1.3573433593077886,2.1425075229284287,67
2003,1.3321698367783887,2.1534725089310003,70
2004,1.3956123018734061,2.076995995086952,68
2005,1.286177288681418,2.127097372820468,66
2006,1.2763069514949128,2.004538796082983,72
2007,1.2957582788510602,2.070500392921657,75
2008,1.2800601974647243,2.1172780564584355,74
2009,1.3006194161335547,2.0615312583814616,71
2010,1.4571463193819438,2.1024024210449364,73
2011,1.4385175790664753,2.094632565727698,69
2012,1.2724887749709624,1.9803218428391935,73
2013,1.4434678140346635,2.0761861918847018,72
2014,1.3773177211537921,2.0652838205247583,72
2015,1.3481676594356493,2.078167087358653,74
2016,1.3679971179814747,1.947966540928071,71
2017,1.3572586095523056,2.041437421338342,70
2018,1.2680305531265275,2.009776315357835,68
2019,1.4136022415085638,2.0418982063428537,64
2020,1.4764010714026756,2.087779522522311,67
2021,1.4590756789115211,2.0599346280907107,74
2022,1.493538362471098,2.0065616943645677,69
2023,1.298561850926994,1.9789585127151297,66
2024,1.50750907490286,2.030853504762704,67
2025,1.4820526349015302,2.0266277529660846,66
