Year,monobook_fraction
1971,0.140625
1972,0.24074074074074073
1973,0.09090909090909091
1974,0.16417910447761194
1975,0.13793103448275862
1976,0.22388059701492538
1977,0.1346153846153846
1978,0.18
1979,0.1694915254237288
1980,0.06666666666666667
1981,0.15517241379310345
1982,0.21428571428571427
1983,0.10909090909090909
1984,0.10869565217391304
1985,0.1
1986,0.14
1987,0.1
1988,0.038461538461538464
1989,0.07692307692307693
1990,0.16923076923076924
1991,0.10714285714285714
1992,0.15873015873015872
1993,0.1
1994,0.09836065573770492
1995,0.109375
1996,0.1346153846153846
1997,0.16981132075471697
1998,0.08333333333333333
1999,0.08333333333333333
2000,0.07017543859649122
2001,0.12698412698412698
2002,0.05172413793103448
2003,0.04918032786885246
2004,0.046875
2005,0.16071428571428573
2006,0.0967741935483871
2007,0.046153846153846156
2008,0.09375
2009,0.09523809523809523
2010,0.029850746268656716
2011,0.10294117647058823
2012,0.05970149253731343
2013,0.045454545454545456
2014,0.0625
2015,0.05970149253731343
2016,0.06153846153846154
2017,0.16417910447761194
2018,0.03571428571428571
2019,0.0847457627118644
2020,0.03333333333333333
2021,0.125
2022,0.029850746268656716
2023,0.0847457627118644
2024,0.06153846153846154
2025,0.078125
